日期,合计,lambda
2022-03-05,7,15
2022-03-06,12,19
2022-03-07,23,21
2022-03-08,22,10
2022-03-09,48,24
2022-03-10,23,3
2022-03-11,160,57
2022-03-12,873,49
2022-03-13,433,4
2022-03-14,1193,29
2022-03-15,317,0
2022-03-16,273,9
2022-03-17,595,24
2022-03-18,744,14
2022-03-19,836,12
2022-03-20,1080,14
2022-03-21,1437,15
2022-03-22,1979,15
2022-03-23,1533,8
2022-03-24,866,5
2022-03-25,957,12
2022-03-26,1128,13
2022-03-27,1036,10
2022-03-28,932,9
2022-03-29,1223,14
2022-03-30,1419,13
2022-03-31,1522,11
2022-04-01,2438,18
2022-04-02,3823,17
2022-04-03,2920,8
2022-04-04,1940,6
2022-04-05,2499,14
2022-04-06,2189,9
2022-04-07,2027,10
2022-04-08,798,2
2022-04-09,878,12
2022-04-10,845,10
2022-04-11,651,8
2022-04-12,974,16
2022-04-13,906,10
2022-04-14,436,4
2022-04-15,564,14
2022-04-16,616,12
2022-04-17,492,8
2022-04-18,439,9
2022-04-19,368,8
2022-04-20,321,9
2022-04-21,264,8
2022-04-22,317,13
2022-04-23,172,4
2022-04-24,163,10
2022-04-25,123,7
2022-04-26,112,9
2022-04-27,141,14
2022-04-28,73,4
2022-04-29,48,6
2022-04-30,39,8
2022-05-01,43,12
2022-05-02,20,3
2022-05-03,39,21
2022-05-04,21,4
2022-05-05,11,4
2022-05-06,23,23
2022-05-07,21,9
2022-05-08,3,0
2022-05-09,6,22
2022-05-10,3,4
2022-05-11,1,1
2022-05-12,0,0
2022-05-13,0,0
2022-05-14,1,0
2022-05-15,0,0
2022-05-16,0,0
2022-05-17,0,0
2022-05-18,0,0
2022-05-19,0,0
2022-05-20,0,0
2022-05-21,0,0
2022-05-22,0,0
2022-05-23,0,0
