日期,合计,lambda
2022-03-28,4477,14
2022-03-29,5982,15
2022-03-30,5653,10
2022-03-31,4502,8
2022-04-01,6311,15
2022-04-02,8226,14
2022-04-03,9006,12
2022-04-04,13354,16
2022-04-05,17077,14
2022-04-06,19982,13
2022-04-07,21222,11
2022-04-08,23624,12
2022-04-09,24943,11
2022-04-10,26087,11
2022-04-11,23342,9
2022-04-12,26330,12
2022-04-13,27719,11
2022-04-14,23072,8
2022-04-15,23513,11
2022-04-16,24820,11
2022-04-17,22248,9
2022-04-18,20416,10
2022-04-19,18901,10
2022-04-20,18495,10
2022-04-21,17629,10
2022-04-22,23370,15
2022-04-23,21058,9
2022-04-24,19455,10
2022-04-25,16980,9
2022-04-26,13562,8
2022-04-27,10622,8
2022-04-28,15032,16
2022-04-29,10181,6
2022-04-30,7872,8
