路线编号,路线起点,路线终点,路线距离(m),起点行政区,终点行政区
1,1,2,40.99,经开区,经开区
2,2,3,57.61,经开区,经开区
3,4,5,171.65,绿园区,绿园区
4,5,6,6.27,绿园区,绿园区
5,6,7,146.12,绿园区,绿园区
6,7,8,69.62,绿园区,绿园区
7,9,10,72.61,经开区,经开区
8,10,11,283.49,经开区,经开区
9,11,12,115.39,经开区,经开区
10,12,13,95.8,经开区,经开区
11,13,14,80.85,经开区,经开区
12,14,15,282.01,经开区,经开区
13,15,9,39.18,经开区,经开区
14,16,17,204.84,绿园区,绿园区
15,17,18,210.32,绿园区,绿园区
16,18,19,140.61,绿园区,绿园区
17,19,20,51.13,绿园区,绿园区
18,21,14,453.08,经开区,经开区
19,22,23,33.0,经开区,经开区
20,23,24,108.62,经开区,经开区
21,24,25,645.79,经开区,经开区
22,25,26,32.09,经开区,经开区
23,26,27,377.85,经开区,经开区
24,27,28,16.23,经开区,经开区
25,28,29,354.86,经开区,经开区
26,29,30,342.59,经开区,经开区
27,30,31,9.41,经开区,经开区
28,31,32,14.85,经开区,经开区
29,33,34,15.19,朝阳区,朝阳区
30,34,35,158.41,朝阳区,朝阳区
31,35,36,267.81,朝阳区,朝阳区
32,36,37,26.64,朝阳区,朝阳区
33,37,38,213.39,朝阳区,南关区
34,38,39,203.32,南关区,南关区
35,39,40,291.65,南关区,南关区
36,40,41,378.84,南关区,南关区
37,41,42,19.3,南关区,南关区
38,43,44,60.39,经开区,经开区
39,45,46,15.19,长春新区(高新),长春新区(高新)
40,46,47,205.08,长春新区(高新),朝阳区
41,47,48,525.22,朝阳区,长春新区(高新)
42,48,49,630.49,长春新区(高新),长春新区(高新)
43,49,50,426.25,长春新区(高新),长春新区(高新)
44,50,51,82.55,长春新区(高新),长春新区(高新)
45,51,52,70.45,长春新区(高新),长春新区(高新)
46,52,53,163.24,长春新区(高新),长春新区(高新)
47,54,55,33.08,南关区,南关区
48,55,56,79.18,南关区,南关区
49,56,57,35.49,南关区,南关区
50,57,58,7.55,南关区,南关区
51,58,59,70.86,南关区,南关区
52,59,60,276.77,南关区,南关区
53,60,61,12.42,南关区,南关区
54,61,62,162.96,南关区,南关区
55,62,41,21.9,南关区,南关区
56,41,63,23.17,南关区,南关区
57,63,64,298.69,南关区,南关区
58,64,65,419.99,南关区,南关区
59,65,66,230.35,南关区,朝阳区
60,66,67,239.74,朝阳区,朝阳区
61,67,68,267.53,朝阳区,朝阳区
62,68,69,7.01,朝阳区,朝阳区
63,69,70,11.69,朝阳区,朝阳区
64,70,71,7.91,朝阳区,朝阳区
65,71,72,101.81,朝阳区,朝阳区
66,72,73,438.92,朝阳区,朝阳区
67,73,74,11.81,朝阳区,朝阳区
68,74,75,546.02,朝阳区,朝阳区
69,75,76,238.11,朝阳区,朝阳区
70,76,77,35.2,朝阳区,朝阳区
71,77,78,234.4,朝阳区,朝阳区
72,78,79,253.61,朝阳区,朝阳区
73,79,80,158.66,朝阳区,朝阳区
74,80,81,161.83,朝阳区,朝阳区
75,81,82,178.66,朝阳区,朝阳区
