节点编号,路口横坐标,路口纵坐标,路口节点连接社区数,路口节点所属行政区
1,87.9522000000002,47.7042666666658,0.0,经开区
2,87.9258500000013,47.5838999999993,0.0,经开区
3,87.8887749999997,47.4147333333335,0.0,经开区
4,50.265275000001,49.651666666667,0.0,绿园区
5,49.7614000000013,49.8096999999997,0.0,绿园区
6,49.7439499999999,49.8181000000007,0.0,绿园区
7,49.3267250000002,49.9928000000007,1.0,绿园区
8,49.1267999999998,50.0734333333336,0.0,绿园区
9,79.7035000000008,43.1679666666677,0.0,经开区
10,79.6745250000015,42.9533333333344,0.0,经开区
11,80.3281000000027,42.576733333334,0.0,经开区
12,80.5886750000013,42.8008666666671,0.0,经开区
13,80.6281250000005,43.0814000000008,0.0,经开区
14,80.5247250000001,43.2997333333323,1.0,经开区
15,79.7653750000009,43.269300000001,1.0,经开区
16,48.8012500000004,47.5301666666657,0.0,绿园区
17,49.0778250000012,48.0832666666657,0.0,绿园区
18,49.2037000000032,48.6910000000004,0.0,绿园区
19,49.3934000000031,49.071299999999,1.0,绿园区
20,49.4618750000022,49.2098333333336,0.0,绿园区
21,81.8390500000028,43.736699999999,0.0,经开区
22,75.817200000003,43.3306333333334,0.0,经开区
23,75.815825000003,43.231600000001,0.0,经开区
24,75.8202500000031,42.9056333333335,1.0,经开区
25,75.8264750000031,40.967466666667,0.0,经开区
26,75.826450000001,40.8711666666666,0.0,经开区
27,75.8483750000032,39.7373333333325,0.0,经开区
28,75.8512000000025,39.6886999999992,0.0,经开区
29,75.8765250000018,38.6239666666673,0.0,经开区
30,75.8950499999997,37.5959333333332,0.0,经开区
31,75.895550000002,37.5676999999991,0.0,经开区
32,75.895550000002,37.5231333333327,0.0,经开区
33,54.8221000000027,44.5954333333323,0.0,朝阳区
34,54.8693750000027,44.5954999999998,0.0,朝阳区
35,55.300950000003,44.3657000000002,0.0,朝阳区
36,56.0090500000001,43.9417999999989,0.0,朝阳区
37,56.0781250000026,43.8975666666674,0.0,朝阳区
38,56.6166250000002,43.5228000000005,0.0,南关区
39,57.1354500000005,43.1735333333331,0.0,南关区
40,57.9826250000011,42.8595333333324,0.0,南关区
41,59.0850000000032,42.4565666666676,0.0,南关区
42,59.1399250000002,42.433099999999,0.0,南关区
